filename,full_path,source_type,competition,season,rows,columns,row_groups,size_mb,modified_utc,sha256,status,error
sofascore_match_shots__UEFA_Champions_League__2025_2026.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_shots__UEFA_Champions_League__2025_2026.parquet,sofascore_match_shots,UEFA Champions League,2025-2026,6189,17,1,0.153,2026-07-31T02:53:04.375270367+00:00,b0e72d5ba73746fec80b3ac3969404eed29fc981e76f2a6a9451163b90d43b75,ok,
sofascore_match_shots__UEFA_Europa_League__2023_2024.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_shots__UEFA_Europa_League__2023_2024.parquet,sofascore_match_shots,UEFA Europa League,2023-2024,3635,17,1,0.102,2026-07-31T10:07:37.311665535+00:00,08ffcdcb354cc96264bce141f3b20a418e7c270242586899ee9effd7d5f7e5d3,ok,
sofascore_match_shots__UEFA_Europa_League__2024_2025.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_shots__UEFA_Europa_League__2024_2025.parquet,sofascore_match_shots,UEFA Europa League,2024-2025,5052,17,1,0.137,2026-07-31T09:27:02.311326504+00:00,31b101c357af5dee50e222182a5c9b7ac97cc4ad81687d6feaf8cf226879334b,ok,
sofascore_match_shots__UEFA_Europa_League__2025_2026.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_shots__UEFA_Europa_League__2025_2026.parquet,sofascore_match_shots,UEFA Europa League,2025-2026,4785,17,1,0.133,2026-07-31T07:43:33.693720818+00:00,11db9da216e1f751fd198d8b71a76634dd99863f739193df5a6eedc8f6e96749,ok,
sofascore_match_team_stats__England_EFL_Championship__2023_2024.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__England_EFL_Championship__2023_2024.parquet,sofascore_match_team_stats,England EFL Championship,2023-2024,65214,19,1,0.486,2026-07-31T14:09:27.096777201+00:00,1f72580dc7f57f9641660a16d645a5bd8a70eb4a4508777ded9a1d45deb4a30b,ok,
sofascore_match_team_stats__England_EFL_Championship__2024_2025.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__England_EFL_Championship__2024_2025.parquet,sofascore_match_team_stats,England EFL Championship,2024-2025,68640,19,1,0.537,2026-07-31T12:46:00.414521456+00:00,90945c81da2c902a12c164bc33b0cb408f21d514eced7f8b6938f2c2e1d6e7d3,ok,
sofascore_match_team_stats__England_EFL_Championship__2025_2026.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__England_EFL_Championship__2025_2026.parquet,sofascore_match_team_stats,England EFL Championship,2025-2026,69618,19,1,0.544,2026-07-31T11:26:24.217458725+00:00,741549e54f63dc115c645b9b0a6b5055d8333437650cb33d20b8d10c4297ce80,ok,
sofascore_match_team_stats__England_Premier_League__2023_2024.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__England_Premier_League__2023_2024.parquet,sofascore_match_team_stats,England Premier League,2023-2024,44872,19,1,0.346,2026-07-28T07:42:57.111809254+00:00,6e5e7faf1b1e6e64a4c207443d5ee0b111607434719fcc6eb27f655d92f81e54,ok,
sofascore_match_team_stats__England_Premier_League__2024_2025.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__England_Premier_League__2024_2025.parquet,sofascore_match_team_stats,England Premier League,2024-2025,47393,19,1,0.382,2026-07-28T06:49:24.236587048+00:00,12fe2423b71aae1cb03bf4be7fd5426b216b62a3f8be31a28600bdb3b5b30d3e,ok,
sofascore_match_team_stats__England_Premier_League__2025_2026.parquet,C:\Users\calum\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\data\raw\sofascore_match_team_stats__England_Premier_League__2025_2026.parquet,sofascore_match_team_stats,England Premier League,2025-2026,47938,19,1,0.385,2026-07-28T05:56:06.002758503+00:00,4d68168470a5c3453ac736a6b317fb9bb7c2d17c6871633f44ef6094dc67a906,ok,
