Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,position_tokens,is_goalkeeper,is_defender,is_midfielder,is_forward,is_pure_midfielder,is_mixed_midfielder,Min_numeric,Age_numeric,TklW_per90,Int_per90,Fls_per90,Fld_per90,CrdY_per90,CrdR_per90,Crs_per90,Off_per90,meets_preferred_minutes
2353,Kaishu Sano,jp JPN,MF,Mainz 05,de Bundesliga,24.0,2000.0,34,34,3059,34.0,1,2,3,1,0,0,1,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,2353,jp JPN,MF,de Bundesliga,24.0,2000.0,34.0,1,24,6,25.0,0.71,0.18,0.04,0.17,0,0,2926,jp JPN,MF,de Bundesliga,24.0,2000.0,34,3059,90,100.0,34.0,34,90.0,33,0,,0,1.18,44,53,-9,-0.26,-0.26,2353,jp JPN,MF,de Bundesliga,24.0,2000.0,34.0,1,0,0,14,29,4,18,67,31,0,MF,False,False,True,False,True,False,3059,24.0,0.9117647058823529,1.9705882352941178,0.4117647058823529,0.8529411764705882,0.029411764705882353,0.0,0.5294117647058824,0.11764705882352941,True
1879,Michel Ndary Adopo,fr FRA,MF,Cagliari,it Serie A,25.0,2000.0,38,33,3050,33.9,1,2,3,1,0,0,4,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,1879,fr FRA,MF,it Serie A,25.0,2000.0,33.9,1,28,11,39.3,0.83,0.32,0.04,0.09,0,0,2327,fr FRA,MF,it Serie A,25.0,2000.0,38,3050,80,89.2,33.9,33,85.0,22,5,49.0,0,1.13,35,46,-11,-0.32,0.16,1879,fr FRA,MF,it Serie A,25.0,2000.0,33.9,4,0,0,35,25,5,26,31,32,0,MF,False,False,True,False,True,False,3050,25.0,0.943952802359882,0.9144542772861357,1.032448377581121,0.7374631268436579,0.11799410029498525,0.0,0.7669616519174042,0.14749262536873156,True
2727,Nikola Vlašić,hr CRO,"MF,FW",Torino,it Serie A,27.0,1997.0,37,36,3043,33.8,8,3,11,3,5,5,7,0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,2727,hr CRO,"MF,FW",it Serie A,27.0,1997.0,33.8,8,49,17,34.7,1.45,0.5,0.06,0.18,5,5,3405,hr CRO,"MF,FW",it Serie A,27.0,1997.0,37,3043,82,89.0,33.8,36,84.0,23,1,33.0,0,1.19,37,57,-20,-0.59,-0.83,2727,hr CRO,"MF,FW",it Serie A,27.0,1997.0,33.8,7,0,0,44,45,4,48,22,39,0,"MF,FW",False,False,True,True,False,True,3043,27.0,1.153846153846154,0.6508875739644971,1.3017751479289943,1.3313609467455623,0.20710059171597636,0.0,1.4201183431952664,0.1183431952662722,True
1187,Trai Hume,nir NIR,"DF,MF",Sunderland,eng Premier League,23.0,2002.0,38,34,3036,33.7,2,1,3,2,0,0,9,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,1187,nir NIR,"DF,MF",eng Premier League,23.0,2002.0,33.7,2,34,7,20.6,1.01,0.21,0.06,0.29,0,0,1465,nir NIR,"DF,MF",eng Premier League,23.0,2002.0,38,3036,80,88.8,33.7,34,87.0,26,4,22.0,0,1.42,34,42,-8,-0.24,-0.71,1187,nir NIR,"DF,MF",eng Premier League,23.0,2002.0,33.7,9,0,0,30,38,3,88,25,46,1,"DF,MF",False,True,True,False,False,True,3036,23.0,1.3649851632047476,0.7418397626112759,0.890207715133531,1.1275964391691393,0.2670623145400593,0.0,2.611275964391691,0.08902077151335311,True
1317,Jakub Kamiński,pl POL,"MF,FW",Köln,de Bundesliga,23.0,2002.0,34,34,3016,33.5,7,3,10,7,0,0,4,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,1317,pl POL,"MF,FW",de Bundesliga,23.0,2002.0,33.5,7,62,25,40.3,1.85,0.75,0.11,0.28,0,0,1618,pl POL,"MF,FW",de Bundesliga,23.0,2002.0,34,3016,89,98.6,33.5,34,89.0,28,0,,0,0.94,49,60,-11,-0.33,5.81,1317,pl POL,"MF,FW",de Bundesliga,23.0,2002.0,33.5,4,0,0,14,28,7,115,25,27,0,"MF,FW",False,False,True,True,False,True,3016,23.0,0.8059701492537313,0.746268656716418,0.417910447761194,0.835820895522388,0.11940298507462686,0.0,3.4328358208955225,0.208955223880597,True
1792,Jon Moncayola,es ESP,MF,Osasuna,es La Liga,27.0,1998.0,36,35,3016,33.5,0,4,4,0,0,0,9,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,1792,es ESP,MF,es La Liga,27.0,1998.0,33.5,0,23,5,21.7,0.69,0.15,0.0,0.0,0,0,2216,es ESP,MF,es La Liga,27.0,1998.0,36,3016,84,88.2,33.5,35,85.0,21,1,25.0,0,1.0,34,45,-11,-0.33,-1.44,1792,es ESP,MF,es La Liga,27.0,1998.0,33.5,9,0,0,41,13,0,142,27,26,0,MF,False,False,True,False,True,False,3016,27.0,0.7761194029850746,0.8059701492537313,1.2238805970149254,0.3880597014925373,0.26865671641791045,0.0,4.2388059701492535,0.0,True
874,Mateus Fernandes,pt POR,MF,West Ham United,eng Premier League,21.0,2004.0,36,35,3016,33.5,3,4,7,3,0,0,7,0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,874,pt POR,MF,eng Premier League,21.0,2004.0,33.5,3,28,8,28.6,0.84,0.24,0.11,0.38,0,0,1076,pt POR,MF,eng Premier League,21.0,2004.0,36,3016,84,88.2,33.5,35,85.0,23,1,26.0,0,1.08,40,50,-10,-0.3,1.71,874,pt POR,MF,eng Premier League,21.0,2004.0,33.5,7,0,0,49,49,0,51,36,67,0,MF,False,False,True,False,True,False,3016,21.0,2.0,1.0746268656716418,1.462686567164179,1.462686567164179,0.208955223880597,0.0,1.5223880597014925,0.0,True
2650,Matthieu Udol,fr FRA,"MF,DF",Lens,fr Ligue 1,29.0,1996.0,34,33,3002,33.4,1,7,8,1,0,0,2,0,0.24,,,,,,,,,,,,,,,,,,,,,,,,,2650,fr FRA,"MF,DF",fr Ligue 1,29.0,1996.0,33.4,1,47,17,36.2,1.41,0.51,0.02,0.06,0,0,3310,fr FRA,"MF,DF",fr Ligue 1,29.0,1996.0,34,3002,88,98.1,33.4,33,90.0,30,1,45.0,0,2.06,62,35,27,0.81,-5.4,2650,fr FRA,"MF,DF",fr Ligue 1,29.0,1996.0,33.4,2,0,0,30,27,2,115,51,21,0,"MF,DF",False,True,True,False,False,True,3002,29.0,0.62874251497006,1.5269461077844313,0.8982035928143713,0.8083832335329342,0.059880239520958084,0.0,3.44311377245509,0.059880239520958084,True
1517,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,27.0,1998.0,36,36,2994,33.3,1,2,3,1,0,1,9,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,1517,it ITA,MF,it Serie A,27.0,1998.0,33.3,1,46,12,26.1,1.38,0.36,0.02,0.08,0,1,1878,it ITA,MF,it Serie A,27.0,1998.0,36,2994,83,87.5,33.3,36,83.0,24,0,,1,1.86,49,28,21,0.63,-0.64,1517,it ITA,MF,it Serie A,27.0,1998.0,33.3,9,0,0,55,44,0,19,38,66,0,MF,False,False,True,False,True,False,2994,27.0,1.9819819819819822,1.1411411411411412,1.6516516516516517,1.3213213213213215,0.2702702702702703,0.0,0.5705705705705706,0.0,True
2835,Martín Zubimendi,es ESP,MF,Arsenal,eng Premier League,26.0,1999.0,38,34,2992,33.2,5,1,6,5,0,0,4,0,0.18,,,,,,,,,,,,,,,,,,,,,,,,,2835,es ESP,MF,eng Premier League,26.0,1999.0,33.2,5,27,9,33.3,0.81,0.27,0.19,0.56,0,0,3534,es ESP,MF,eng Premier League,26.0,1999.0,38,2992,79,87.5,33.2,34,84.0,22,4,32.0,0,2.24,57,25,32,0.96,-1.56,2835,es ESP,MF,eng Premier League,26.0,1999.0,33.2,4,0,0,33,15,1,13,39,39,0,MF,False,False,True,False,True,False,2992,26.0,1.1746987951807228,1.1746987951807228,0.9939759036144578,0.4518072289156626,0.12048192771084336,0.0,0.39156626506024095,0.03012048192771084,True
