Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,position_tokens,is_goalkeeper,is_defender,is_midfielder,is_forward,is_pure_midfielder,is_mixed_midfielder,Min_numeric,Age_numeric,TklW_per90,Int_per90,Fls_per90,Fld_per90,CrdY_per90,CrdR_per90,Crs_per90,Off_per90,meets_preferred_minutes
1342,Mandela Keita,be BEL,MF,Parma,it Serie A,23.0,2002.0,37,36,2979,33.1,1,1,2,1,0,0,1,0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,1342,be BEL,MF,it Serie A,23.0,2002.0,33.1,1,16,5,31.3,0.48,0.15,0.06,0.2,0,0,1647,be BEL,MF,it Serie A,23.0,2002.0,37,2979,81,87.1,33.1,36,83.0,19,1,6.0,0,1.22,19,37,-18,-0.54,-0.54,1342,be BEL,MF,it Serie A,23.0,2002.0,33.1,1,0,0,30,57,0,2,43,48,1,MF,False,False,True,False,True,False,2979,23.0,1.4501510574018126,1.2990936555891237,0.9063444108761329,1.7220543806646524,0.030211480362537763,0.0,0.060422960725075525,0.0,True
294,Sander Berge,no NOR,MF,Fulham,eng Premier League,27.0,1998.0,35,34,2905,32.3,0,1,1,0,0,0,5,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,294,no NOR,MF,eng Premier League,27.0,1998.0,32.3,0,14,3,21.4,0.43,0.09,0.0,0.0,0,0,365,no NOR,MF,eng Premier League,27.0,1998.0,35,2905,83,84.9,32.3,34,85.0,25,1,17.0,2,1.46,43,45,-2,-0.06,0.29,294,no NOR,MF,eng Premier League,27.0,1998.0,32.3,5,0,0,35,14,1,13,26,41,1,MF,False,False,True,False,True,False,2905,27.0,1.2693498452012384,0.8049535603715171,1.08359133126935,0.43343653250774,0.15479876160990713,0.0,0.40247678018575855,0.030959752321981428,True
37,Michel Aebischer,ch SUI,MF,Pisa,it Serie A,28.0,1997.0,35,33,2892,32.1,1,2,3,1,0,0,8,0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,37,ch SUI,MF,it Serie A,28.0,1997.0,32.1,1,19,5,26.3,0.59,0.16,0.05,0.2,0,0,42,ch SUI,MF,it Serie A,28.0,1997.0,35,2892,83,84.6,32.1,33,85.0,25,2,45.0,1,0.51,23,49,-26,-0.81,2.43,37,ch SUI,MF,it Serie A,28.0,1997.0,32.1,8,0,0,44,38,0,43,35,37,0,MF,False,False,True,False,True,False,2892,28.0,1.1526479750778815,1.0903426791277258,1.3707165109034267,1.1838006230529594,0.24922118380062305,0.0,1.3395638629283488,0.0,True
2306,Noah Sadiki,cd COD,MF,Sunderland,eng Premier League,20.0,2004.0,33,33,2889,32.1,0,1,1,0,0,0,9,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,2306,cd COD,MF,eng Premier League,20.0,2004.0,32.1,0,19,5,26.3,0.59,0.16,0.0,0.0,0,0,2866,cd COD,MF,eng Premier League,20.0,2004.0,33,2889,88,84.5,32.1,33,88.0,26,0,,0,1.52,37,42,-5,-0.16,0.01,2306,cd COD,MF,eng Premier League,20.0,2004.0,32.1,9,0,0,31,40,2,21,33,26,0,MF,False,False,True,False,True,False,2889,20.0,0.8099688473520249,1.02803738317757,0.9657320872274143,1.2461059190031152,0.2803738317757009,0.0,0.6542056074766355,0.06230529595015576,True
2206,Nicolai Remberg,de GER,MF,Hamburger SV,de Bundesliga,25.0,2000.0,32,32,2880,32.0,0,2,2,0,0,0,11,0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,2206,de GER,MF,de Bundesliga,25.0,2000.0,32.0,0,17,8,47.1,0.53,0.25,0.0,0.0,0,0,2742,de GER,MF,de Bundesliga,25.0,2000.0,32,2880,90,94.1,32.0,32,90.0,32,0,,0,1.16,38,49,-11,-0.34,1.16,2206,de GER,MF,de Bundesliga,25.0,2000.0,32.0,11,0,0,44,48,1,5,43,27,0,MF,False,False,True,False,True,False,2880,25.0,0.84375,1.34375,1.375,1.5,0.34375,0.0,0.15625,0.03125,True
2071,Nicolás Paz,ar ARG,MF,Como,it Serie A,20.0,2004.0,35,33,2878,32.0,12,6,18,12,0,2,5,0,0.56,,,,,,,,,,,,,,,,,,,,,,,,,2071,ar ARG,MF,it Serie A,20.0,2004.0,32.0,12,121,48,39.7,3.78,1.5,0.1,0.25,0,2,2562,ar ARG,MF,it Serie A,20.0,2004.0,35,2878,82,84.2,32.0,33,86.0,22,2,25.0,1,1.77,49,27,22,0.69,-1.64,2071,ar ARG,MF,it Serie A,20.0,2004.0,32.0,5,0,0,54,41,0,63,27,56,0,MF,False,False,True,False,True,False,2878,20.0,1.75,0.84375,1.6875,1.28125,0.15625,0.0,1.96875,0.0,True
2401,Alex Scott,eng ENG,MF,Bournemouth,eng Premier League,21.0,2003.0,37,34,2849,31.7,3,1,4,3,0,0,5,0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,2401,eng ENG,MF,eng Premier League,21.0,2003.0,31.7,3,44,13,29.5,1.39,0.41,0.07,0.23,0,0,2987,eng ENG,MF,eng Premier League,21.0,2003.0,37,2849,77,83.3,31.7,34,80.0,19,3,39.0,0,1.51,50,42,8,0.25,0.88,2401,eng ENG,MF,eng Premier League,21.0,2003.0,31.7,5,0,0,45,60,1,88,35,38,0,MF,False,False,True,False,True,False,2849,21.0,1.1987381703470033,1.1041009463722398,1.4195583596214512,1.8927444794952681,0.15772870662460567,0.0,2.77602523659306,0.031545741324921134,True
909,Pablo Fornals,es ESP,MF,Real Betis,es La Liga,29.0,1996.0,37,34,2848,31.6,9,6,15,9,0,0,2,0,0.47,,,,,,,,,,,,,,,,,,,,,,,,,909,es ESP,MF,es La Liga,29.0,1996.0,31.6,9,43,18,41.9,1.36,0.57,0.21,0.5,0,0,1123,es ESP,MF,es La Liga,29.0,1996.0,37,2848,77,83.3,31.6,34,80.0,15,3,40.0,1,1.62,53,38,15,0.47,1.1,909,es ESP,MF,es La Liga,29.0,1996.0,31.6,2,0,0,32,26,13,140,34,26,0,MF,False,False,True,False,True,False,2848,29.0,0.8227848101265822,1.0759493670886076,1.0126582278481011,0.8227848101265822,0.06329113924050632,0.0,4.430379746835443,0.4113924050632911,True
1712,Weston McKennie,us USA,MF,Juventus,it Serie A,26.0,1998.0,36,32,2835,31.5,5,5,10,5,0,0,5,0,0.32,,,,,,,,,,,,,,,,,,,,,,,,,1712,us USA,MF,it Serie A,26.0,1998.0,31.5,5,43,16,37.2,1.37,0.51,0.12,0.31,0,0,2113,us USA,MF,it Serie A,26.0,1998.0,36,2835,79,82.9,31.5,32,87.0,23,4,13.0,1,1.81,53,31,22,0.7,-0.07,1712,us USA,MF,it Serie A,26.0,1998.0,31.5,5,0,0,44,11,7,36,26,24,0,MF,False,False,True,False,True,False,2835,26.0,0.7619047619047619,0.8253968253968254,1.3968253968253967,0.3492063492063492,0.15873015873015872,0.0,1.1428571428571428,0.2222222222222222,True
176,Leon Avdullahu,xk KVX,MF,Hoffenheim,de Bundesliga,21.0,2004.0,33,32,2834,31.5,0,1,1,0,0,0,5,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,176,xk KVX,MF,de Bundesliga,21.0,2004.0,31.5,0,14,2,14.3,0.44,0.06,0.0,0.0,0,0,216,xk KVX,MF,de Bundesliga,21.0,2004.0,33,2834,86,92.6,31.5,32,88.0,27,1,30.0,0,1.85,63,44,19,0.6,2.99,176,xk KVX,MF,de Bundesliga,21.0,2004.0,31.5,5,0,0,27,12,1,15,33,30,0,MF,False,False,True,False,True,False,2834,21.0,0.9523809523809523,1.0476190476190477,0.8571428571428571,0.38095238095238093,0.15873015873015872,0.0,0.47619047619047616,0.031746031746031744,True
